algorithm,embedding_mode,train_sigma,eval_sigma,mean_reward,reward_std
td3_bus,full,1.0,1.0,-714026.5749389627,33618.74643540458
td3_bus,full,1.0,1.5,-994368.3103597354,43115.21642663619
td3_bus,full,1.0,2.0,-1245406.8834282877,56199.62193752006
td3_bus,full,1.5,1.0,-492105.50727670785,17893.712960326735
td3_bus,full,1.5,1.5,-634736.1508152618,15434.532766286731
td3_bus,full,1.5,2.0,-780154.7744908001,16763.94921568944
td3_bus,full,2.0,1.0,-701551.1166420643,28594.49783047441
td3_bus,full,2.0,1.5,-983016.5862823565,44108.19265060053
td3_bus,full,2.0,2.0,-1268199.5607974909,45881.79054403014
td3_bus,one_hot,1.0,1.0,-706862.9305162993,24153.005296405547
td3_bus,one_hot,1.0,1.5,-959618.048174862,49661.08680173678
td3_bus,one_hot,1.0,2.0,-1243139.9382564363,49008.437240316314
td3_bus,one_hot,1.5,1.0,-703912.7182407539,32518.049787555996
td3_bus,one_hot,1.5,1.5,-979869.7515546281,32258.198510253133
td3_bus,one_hot,1.5,2.0,-1247637.9534330848,51376.25705508131
td3_bus,one_hot,2.0,1.0,-709649.8471592691,21315.066617476336
td3_bus,one_hot,2.0,1.5,-979784.7748000558,38517.77706849258
td3_bus,one_hot,2.0,2.0,-1253488.6246261676,29446.86600844696
td3_bus,none,1.0,1.0,-694795.5937446008,31307.83595146252
td3_bus,none,1.0,1.5,-989535.1083502604,49853.29453231629
td3_bus,none,1.0,2.0,-1227541.7502961461,45675.43378731449
td3_bus,none,1.5,1.0,-690667.5017677713,27632.79339143214
td3_bus,none,1.5,1.5,-991929.677797428,64856.05337643798
td3_bus,none,1.5,2.0,-1226122.1236449112,46803.96511761825
td3_bus,none,2.0,1.0,-694216.9864608713,26740.227115578906
td3_bus,none,2.0,1.5,-982786.3222862665,30438.646586819497
td3_bus,none,2.0,2.0,-1219311.3341161846,31508.154182948674
